postcode,confirmed_cases_count
2000,13545
2007,3456
2008,4873
2009,5117
2010,11505
2011,7115
2015,5257
2016,6196
2017,12127
2018,8357
2019,6274
2020,10133
2021,5966
2022,5775
2023,4341
2024,4851
2025,2794
2026,14422
2027,2735
2028,1811
2029,4504
2030,6077
2031,15118
2032,6479
2033,5122
2034,9286
2035,15912
2036,14870
2037,7094
2038,4205
2039,3788
2040,10630
2041,6576
2042,9145
2043,4635
2044,3889
2045,3030
2046,11747
2047,5057
2048,3565
2049,5835
2050,4226
2060,5583
2061,2159
2062,3003
2063,2648
2064,3815
2065,12791
2066,14715
2067,10485
2068,7388
2069,6155
2070,6213
2071,5607
2072,3587
2073,7380
2074,9449
2075,9096
2076,10184
2077,16663
2079,3496
2080,729
2081,2223
2082,2344
2083,532
2084,1544
2085,5140
2086,6387
2087,5731
2088,10567
2089,4362
2090,5111
2092,3145
2093,10300
2094,2530
2095,6659
2096,6296
2097,7073
2099,18773
2100,10091
2101,8100
2102,3597
2103,4332
2104,1273
2105,664
2106,3762
2107,5911
2108,590
2110,4027
2111,6865
2112,15728
2113,13014
2114,10487
2115,5073
2116,3002
2117,9441
2118,11237
2119,5190
2120,9186
2121,14250
2122,12386
2124,1
2125,7322
2126,8177
2127,9572
2128,981
2130,3377
2131,10282
2132,4830
2133,4712
2134,8100
2135,11476
2136,3444
2137,12043
2138,8027
2140,8952
2141,14013
2142,11669
2143,4000
2144,16700
2145,35699
2146,8162
2147,15783
2148,29849
2150,13610
2151,8756
2152,4922
2153,26686
2154,17211
2155,35079
2156,5223
2157,1521
2158,3385
2159,1823
2160,15668
2161,13974
2162,8055
2163,3862
2164,8397
2165,16913
2166,18481
2167,4367
2168,17835
2170,45138
2171,15982
2172,1363
2173,6744
2174,5533
2175,640
2176,18994
2177,6498
2178,1391
2179,7455
2190,10670
2191,2826
2192,6086
2193,7614
2194,10568
2195,10639
2196,14161
2197,4002
2198,3978
2199,7546
2200,18717
2203,6455
2204,12027
2205,10843
2206,8372
2207,11947
2208,5427
2209,7041
2210,13998
2211,7401
2212,7673
2213,10154
2214,1952
2216,12342
2217,12115
2218,6725
2219,5409
2220,14127
2221,7232
2222,5382
2223,8897
2224,5972
2225,2623
2226,5878
2227,6842
2228,9386
2229,13534
2230,13426
2231,1048
2232,15627
2233,14446
2234,14232
2250,28673
2251,13565
2256,6214
2257,11868
2258,2209
2259,29138
2260,10447
2261,22893
2262,9379
2263,9598
2264,6467
2265,3204
2267,1100
2278,1244
2280,11666
2281,5932
2282,7066
2283,9878
2284,5720
2285,16048
2286,2249
2287,18857
2289,9639
2290,16063
2291,6653
2292,1273
2293,1758
2294,979
2295,3152
2296,1022
2297,890
2298,4409
2299,5351
2300,5810
2302,692
2303,4469
2304,7316
2305,6062
2306,1377
2307,1995
2308,345
2311,316
2312,523
2315,5413
2316,2431
2317,2149
2318,5617
2319,2359
2320,18558
2321,9632
2322,11897
2323,11703
2324,9914
2325,13485
2326,3542
2327,3533
2328,937
2329,648
2330,9298
2333,6034
2334,1591
2335,3656
2336,936
2337,2823
2338,435
2339,222
2340,21980
2341,435
2342,146
2343,1499
2344,209
2345,255
2346,820
2347,420
2350,9805
2352,1054
2353,391
2354,950
2355,141
2356,35
2357,1260
2358,1190
2359,168
2360,5037
2361,252
2365,937
2369,344
2370,2048
2371,178
2372,948
2379,73
2380,4302
2381,395
2382,448
2386,80
2387,49
2388,910
2390,2856
2395,136
2396,282
2397,76
2398,56
2399,180
2400,3714
2401,84
2402,521
2403,195
2404,427
2405,97
2406,191
2408,57
2409,177
2410,52
2411,24
2415,120
2420,1305
2421,828
2422,1621
2423,999
2424,115
2425,634
2426,274
2427,984
2428,7833
2429,3266
2430,13848
2431,1483
2439,1248
2440,7642
2441,1283
2443,2316
2444,17756
2445,2417
2446,4992
2447,2211
2448,2681
2449,596
2450,14378
2452,4859
2453,511
2454,2335
2455,879
2456,5135
2460,9530
2462,670
2463,2003
2464,1742
2465,85
2466,344
2469,838
2470,4717
2471,672
2472,411
2473,944
2474,1461
2475,64
2476,135
2477,3853
2478,10384
2479,1821
2480,13764
2481,5626
2482,2190
2483,3472
2484,5365
2485,4617
2486,10072
2487,4491
2488,1091
2489,2405
2490,187
2500,19827
2502,5450
2505,2332
2506,3513
2508,4393
2515,5184
2516,3118
2517,6298
2518,9037
2519,7393
2525,5763
2526,8050
2527,12865
2528,10541
2529,13397
2530,16307
2533,6787
2534,2297
2535,2694
2536,5834
2537,3658
2538,1003
2539,7012
2540,16782
2541,12020
2545,278
2546,2590
2548,2337
2549,1117
2550,5055
2551,1148
2555,44
2556,837
2557,9295
2558,5042
2559,1450
2560,37667
2563,98
2564,6191
2565,14490
2566,12398
2567,19160
2568,488
2569,559
2570,29132
2571,5809
2572,2316
2573,2560
2574,2418
2575,6877
2576,4594
2577,5744
2578,856
2579,1413
2580,11763
2581,881
2582,5017
2583,1250
2584,193
2585,70
2586,661
2587,803
2588,49
2590,2146
2594,4381
2611,190
2618,360
2619,4344
2620,18817
2621,2731
2622,1215
2623,181
2624,60
2625,165
2626,171
2627,2386
2628,751
2629,184
2630,3104
2631,155
2632,540
2633,95
2640,15565
2641,6385
2642,1850
2643,932
2644,601
2645,89
2646,1865
2647,728
2648,692
2649,9
2650,24154
2651,1283
2652,1490
2653,728
2655,453
2656,370
2658,415
2659,292
2660,468
2661,766
2663,1743
2665,575
2666,1593
2668,93
2669,403
2671,1342
2672,550
2675,450
2678,132
2680,9864
2681,640
2700,1754
2701,837
2702,261
2703,188
2705,3513
2706,392
2707,409
2710,2598
2711,763
2712,357
2713,658
2714,646
2715,491
2716,264
2717,430
2720,2660
2721,69
2722,883
2725,76
2726,86
2727,110
2729,474
2730,321
2731,1808
2732,422
2733,115
2734,85
2735,90
2736,94
2737,239
2738,782
2739,452
2745,14569
2747,25542
2748,687
2749,8117
2750,22663
2752,2453
2753,7129
2754,2997
2756,14501
2757,313
2758,3201
2759,12199
2760,17874
2761,16988
2762,10780
2763,15360
2765,22122
2766,8014
2767,10997
2768,13667
2769,7533
2770,28638
2773,2635
2774,5772
2775,333
2776,1734
2777,7509
2778,999
2779,2060
2780,4531
2782,2233
2783,1083
2784,479
2785,1562
2786,358
2787,1464
2790,5342
2791,100
2792,112
2793,248
2794,3417
2795,19519
2797,130
2798,847
2799,1757
2800,21456
2803,66
2804,896
2805,118
2806,237
2807,115
2808,49
2809,48
2810,767
2817,71
2818,346
2820,2649
2821,1920
2822,152
2823,408
2824,660
2825,838
2826,58
2827,1239
2828,212
2829,1100
2830,21063
2831,681
2832,673
2833,213
2834,545
2835,1302
2836,346
2838,85
2839,354
2840,928
2842,182
2843,337
2844,373
2845,874
2846,63
2847,818
2848,415
2849,423
2850,6973
2852,1267
2864,295
2865,288
2866,1183
2867,216
2868,200
2869,387
2870,4631
2871,2915
2873,119
2874,104
2875,254
2876,151
2877,1075
2878,79
2879,198
2880,6903
2905,1
2912,1
2914,1